id,pattern,params,description,source_path,verified,vc_count,tokens,priority,created_at
aggregator,aggregator,{},aggregator variant,C:\Users\goldf\Posit\patterns\aggregator.dfy,t,6,0,0,2026-08-10 17:11:00.668718+00
aggregator-r01-v000,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Sum, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v000.dfy,t,6,0,0,2026-08-10 18:06:07.413474+00
aggregator-r01-v001,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Sum, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v001.dfy,t,6,0,0,2026-08-10 18:06:18.505847+00
aggregator-r01-v002,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Sum, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v002.dfy,t,6,0,0,2026-08-10 18:06:29.591224+00
aggregator-r01-v003,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Max, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v003.dfy,t,6,0,0,2026-08-10 18:06:40.333717+00
aggregator-r01-v004,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Max, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v004.dfy,t,6,0,0,2026-08-10 18:06:51.562903+00
aggregator-r01-v005,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Max, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v005.dfy,t,6,0,0,2026-08-10 18:07:02.104238+00
aggregator-r01-v006,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Min, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v006.dfy,t,6,0,0,2026-08-10 18:07:12.857759+00
aggregator-r01-v007,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Min, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v007.dfy,t,6,0,0,2026-08-10 18:07:23.732695+00
aggregator-r01-v008,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Min, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v008.dfy,t,6,0,0,2026-08-10 18:07:34.538145+00
aggregator-r01-v009,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountPositive, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v009.dfy,t,6,0,0,2026-08-10 18:07:45.400942+00
aggregator-r01-v010,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountPositive, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v010.dfy,t,6,0,0,2026-08-10 18:07:56.311235+00
aggregator-r01-v011,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountPositive, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v011.dfy,t,6,0,0,2026-08-10 18:08:07.240119+00
aggregator-r01-v012,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountNegative, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v012.dfy,t,6,0,0,2026-08-10 18:08:17.715626+00
aggregator-r01-v013,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountNegative, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v013.dfy,t,6,0,0,2026-08-10 18:08:28.812932+00
aggregator-r01-v014,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountNegative, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v014.dfy,t,6,0,0,2026-08-10 18:08:39.799501+00
aggregator-r01-v015,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Average, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v015.dfy,t,6,0,0,2026-08-10 18:08:50.853544+00
aggregator-r01-v016,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Average, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v016.dfy,t,6,0,0,2026-08-10 18:09:01.448586+00
aggregator-r01-v017,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Average, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v017.dfy,t,6,0,0,2026-08-10 18:09:12.679261+00
aggregator-r01-v018,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Count, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v018.dfy,t,6,0,0,2026-08-10 18:09:23.841374+00
aggregator-r01-v019,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Count, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r01-v019.dfy,t,6,0,0,2026-08-10 18:09:34.605177+00
aggregator-r02-v000,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Sum, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v000.dfy,t,6,0,0,2026-08-10 18:09:45.606588+00
aggregator-r02-v001,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Sum, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v001.dfy,t,6,0,0,2026-08-10 18:09:56.366577+00
aggregator-r02-v002,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Sum, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v002.dfy,t,6,0,0,2026-08-10 18:10:08.333454+00
aggregator-r02-v003,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Max, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v003.dfy,t,6,0,0,2026-08-10 18:10:19.78364+00
aggregator-r02-v004,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Max, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v004.dfy,t,6,0,0,2026-08-10 18:10:31.09485+00
aggregator-r02-v005,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Max, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v005.dfy,t,6,0,0,2026-08-10 18:10:42.719503+00
aggregator-r02-v006,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Min, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v006.dfy,t,6,0,0,2026-08-10 18:10:56.035578+00
aggregator-r02-v007,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Min, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v007.dfy,t,6,0,0,2026-08-10 18:11:07.333223+00
aggregator-r02-v008,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Min, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v008.dfy,t,6,0,0,2026-08-10 18:11:19.538638+00
aggregator-r02-v009,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountPositive, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v009.dfy,t,6,0,0,2026-08-10 18:11:31.284471+00
aggregator-r02-v010,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountPositive, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v010.dfy,t,6,0,0,2026-08-10 18:11:42.329977+00
aggregator-r02-v011,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountPositive, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v011.dfy,t,6,0,0,2026-08-10 18:11:53.983998+00
aggregator-r02-v012,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountNegative, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v012.dfy,t,6,0,0,2026-08-10 18:12:05.181668+00
aggregator-r02-v013,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountNegative, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v013.dfy,t,6,0,0,2026-08-10 18:12:16.746865+00
aggregator-r02-v014,aggregator,"{""operation"": ""CountNegative"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=CountNegative, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v014.dfy,t,6,0,0,2026-08-10 18:12:28.669051+00
aggregator-r02-v015,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Average, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v015.dfy,t,6,0,0,2026-08-10 18:12:40.879926+00
aggregator-r02-v016,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Average, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v016.dfy,t,6,0,0,2026-08-10 18:12:51.867253+00
aggregator-r02-v017,aggregator,"{""operation"": ""Average"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Average, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v017.dfy,t,6,0,0,2026-08-10 18:13:02.510849+00
aggregator-r02-v018,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Count, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v018.dfy,t,6,0,0,2026-08-10 18:13:13.314502+00
aggregator-r02-v019,aggregator,"{""operation"": ""Count"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Count, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r02-v019.dfy,t,6,0,0,2026-08-10 18:13:24.274679+00
aggregator-r03-v000,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Sum, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v000.dfy,t,6,0,0,2026-08-10 18:13:34.952189+00
aggregator-r03-v001,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Sum, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v001.dfy,t,6,0,0,2026-08-10 18:13:45.973738+00
aggregator-r03-v002,aggregator,"{""operation"": ""Sum"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Sum, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v002.dfy,t,6,0,0,2026-08-10 18:13:57.081141+00
aggregator-r03-v003,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Max, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v003.dfy,t,6,0,0,2026-08-10 18:14:08.090458+00
aggregator-r03-v004,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Max, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v004.dfy,t,6,0,0,2026-08-10 18:14:18.840176+00
aggregator-r03-v005,aggregator,"{""operation"": ""Max"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Max, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v005.dfy,t,6,0,0,2026-08-10 18:14:29.555088+00
aggregator-r03-v006,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=Min, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v006.dfy,t,6,0,0,2026-08-10 18:14:40.346167+00
aggregator-r03-v007,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=Min, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v007.dfy,t,6,0,0,2026-08-10 18:14:50.159304+00
aggregator-r03-v008,aggregator,"{""operation"": ""Min"", ""collectionType"": ""seq<bool>""}","aggregator variant (operation=Min, collectionType=seq<bool>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v008.dfy,t,6,0,0,2026-08-10 18:15:00.411017+00
aggregator-r03-v009,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<int>""}","aggregator variant (operation=CountPositive, collectionType=seq<int>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v009.dfy,t,6,0,0,2026-08-10 18:15:10.58005+00
aggregator-r03-v010,aggregator,"{""operation"": ""CountPositive"", ""collectionType"": ""seq<string>""}","aggregator variant (operation=CountPositive, collectionType=seq<string>)",C:\Users\goldf\Posit\.posit\staging\batch-variants\aggregator-r03-v010.dfy,t,6,0,0,2026-08-10 18:15:21.918174+00
